indexOfdf,Id,ColumnName,Original,Modified,ErrorType,Fixing
ALL,ALL,"['OpenDate', 'CloseDate']",ALL,ALL,Format,Changed to YYYY-MM-DD HH:MM:SS format
ALL,ALL,"['Title', 'Location', 'Company', 'ContractType', 'ContractTime', 'SourceName']","['-', '', 'N/A', 'None', 'NaN']",non-specified,Missing Values,"Changed to ""non-specified"""
4947,71198991,Location,Hampshira,Hampshire,Misspelling,Changed to Hampshire
7173,71199460,Location,Cembridge,Cambridge,Misspelling,Changed to Cambridge
7891,67964843,Location,BRISTOL,Bristol,Misspelling,Changed to Bristol
12890,66600521,Location,Livepool,Liverpool,Misspelling,Changed to Liverpool
14026,70762358,Location,Oxfords,Oxford,Misspelling,Changed to Oxford
14261,69082914,Location,LANCASHIRE,Lancashire,Misspelling,Changed to Lancashire
14349,71821248,Location,SURREY,Surrey,Misspelling,Changed to Surrey
21652,68696484,Location,Leads,Leeds,Misspelling,Changed to Leeds
22235,68098925,Location,DONCASTER,Doncaster,Misspelling,Changed to Doncaster
22311,68692811,Location,Londn,London,Misspelling,Changed to London
26756,68056646,Location,Warringtn,Warrington,Misspelling,Changed to Warrington
29552,72187254,Location,Cembridge,Cambridge,Misspelling,Changed to Cambridge
30768,52269464,Location,ABERDEEN,Aberdeen,Misspelling,Changed to Aberdeen
30785,46633769,Location,birmingham,Birmingham,Misspelling,Changed to Birmingham
32692,70146181,Location,ABERDEEN,Aberdeen,Misspelling,Changed to Aberdeen
39036,68803261,Location,london,London,Misspelling,Changed to London
40769,66936091,Location,HAMpshire,Hampshire,Misspelling,Changed to Hampshire
40863,66595799,Location,Manchaster,Manchester,Misspelling,Changed to Manchester
42067,71708082,Location,Croydan,Croydon,Misspelling,Changed to Croydon
10,72226797,Salary,-,nan,Missing Value,Changed to nan
15,71145769,Salary,-,nan,Missing Value,Changed to nan
26,67245025,Salary,-,nan,Missing Value,Changed to nan
55,71841840,Salary,-,nan,Missing Value,Changed to nan
75,70436114,Salary,-,nan,Missing Value,Changed to nan
107,68662715,Salary,-,nan,Missing Value,Changed to nan
127,71402732,Salary,-,nan,Missing Value,Changed to nan
140,71654678,Salary,-,nan,Missing Value,Changed to nan
148,68248625,Salary,-,nan,Missing Value,Changed to nan
207,72226431,Salary,-,nan,Missing Value,Changed to nan
235,71841966,Salary,-,nan,Missing Value,Changed to nan
258,70602659,Salary,-,nan,Missing Value,Changed to nan
1295,69264719,Salary,,nan,Missing Value,Changed to nan
1299,72294229,Salary,,nan,Missing Value,Changed to nan
1346,69690567,Salary,,nan,Missing Value,Changed to nan
1452,68372627,Salary,,nan,Missing Value,Changed to nan
1454,69265348,Salary,,nan,Missing Value,Changed to nan
1473,69265468,Salary,,nan,Missing Value,Changed to nan
1553,68374177,Salary,,nan,Missing Value,Changed to nan
1561,69866048,Salary,,nan,Missing Value,Changed to nan
1568,69265729,Salary,,nan,Missing Value,Changed to nan
1582,67753812,Salary,,nan,Missing Value,Changed to nan
1606,68372808,Salary,,nan,Missing Value,Changed to nan
1620,68591967,Salary,,nan,Missing Value,Changed to nan
1622,69265435,Salary,,nan,Missing Value,Changed to nan
1633,71900504,Salary,,nan,Missing Value,Changed to nan
1635,69690247,Salary,,nan,Missing Value,Changed to nan
1649,72484430,Salary,,nan,Missing Value,Changed to nan
1672,72295159,Salary,,nan,Missing Value,Changed to nan
1684,69690831,Salary,,nan,Missing Value,Changed to nan
1685,69866238,Salary,,nan,Missing Value,Changed to nan
1688,68822692,Salary,,nan,Missing Value,Changed to nan
1693,70099758,Salary,,nan,Missing Value,Changed to nan
1707,71224286,Salary,,nan,Missing Value,Changed to nan
1719,71707047,Salary,,nan,Missing Value,Changed to nan
1735,70533856,Salary,,nan,Missing Value,Changed to nan
1759,68822938,Salary,,nan,Missing Value,Changed to nan
1765,70099814,Salary,,nan,Missing Value,Changed to nan
1786,68550160,Salary,,nan,Missing Value,Changed to nan
1868,66978913,Salary,,nan,Missing Value,Changed to nan
1893,71706642,Salary,,nan,Missing Value,Changed to nan
1899,69690072,Salary,,nan,Missing Value,Changed to nan
1907,70099588,Salary,,nan,Missing Value,Changed to nan
1939,71566082,Salary,,nan,Missing Value,Changed to nan
1955,72346330,Salary,,nan,Missing Value,Changed to nan
2002,61811864,Salary,,nan,Missing Value,Changed to nan
2014,72127933,Salary,,nan,Missing Value,Changed to nan
2040,71306414,Salary,,nan,Missing Value,Changed to nan
2060,71566461,Salary,,nan,Missing Value,Changed to nan
2115,72127325,Salary,,nan,Missing Value,Changed to nan
2128,70782910,Salary,,nan,Missing Value,Changed to nan
2132,69036841,Salary,,nan,Missing Value,Changed to nan
2141,71565648,Salary,,nan,Missing Value,Changed to nan
2172,69039080,Salary,,nan,Missing Value,Changed to nan
2192,72128079,Salary,,nan,Missing Value,Changed to nan
2213,69037347,Salary,,nan,Missing Value,Changed to nan
2218,68360185,Salary,,nan,Missing Value,Changed to nan
2220,68360846,Salary,,nan,Missing Value,Changed to nan
2234,69040766,Salary,,nan,Missing Value,Changed to nan
2259,68360711,Salary,,nan,Missing Value,Changed to nan
2315,68359073,Salary,,nan,Missing Value,Changed to nan
2388,68360723,Salary,,nan,Missing Value,Changed to nan
2389,72127994,Salary,,nan,Missing Value,Changed to nan
2401,66913482,Salary,,nan,Missing Value,Changed to nan
2419,71565037,Salary,,nan,Missing Value,Changed to nan
2434,69038940,Salary,,nan,Missing Value,Changed to nan
2511,71566215,Salary,,nan,Missing Value,Changed to nan
2534,69039582,Salary,,nan,Missing Value,Changed to nan
2583,69546218,Salary,,nan,Missing Value,Changed to nan
2589,68361235,Salary,,nan,Missing Value,Changed to nan
2644,68360540,Salary,,nan,Missing Value,Changed to nan
2659,68359766,Salary,,nan,Missing Value,Changed to nan
2661,71760239,Salary,,nan,Missing Value,Changed to nan
2680,69043388,Salary,,nan,Missing Value,Changed to nan
2707,69037630,Salary,,nan,Missing Value,Changed to nan
2711,71760296,Salary,,nan,Missing Value,Changed to nan
2718,71306611,Salary,,nan,Missing Value,Changed to nan
2746,72127963,Salary,,nan,Missing Value,Changed to nan
2768,69042210,Salary,,nan,Missing Value,Changed to nan
2794,68361363,Salary,,nan,Missing Value,Changed to nan
2809,71306326,Salary,,nan,Missing Value,Changed to nan
2852,71307063,Salary,,nan,Missing Value,Changed to nan
2898,69545880,Salary,,nan,Missing Value,Changed to nan
2954,71565368,Salary,,nan,Missing Value,Changed to nan
2962,69544768,Salary,,nan,Missing Value,Changed to nan
2990,69036850,Salary,,nan,Missing Value,Changed to nan
3002,69545734,Salary,,nan,Missing Value,Changed to nan
3021,71565300,Salary,,nan,Missing Value,Changed to nan
3024,71565766,Salary,,nan,Missing Value,Changed to nan
3067,68359960,Salary,,nan,Missing Value,Changed to nan
3082,72127702,Salary,,nan,Missing Value,Changed to nan
3153,69038381,Salary,,nan,Missing Value,Changed to nan
3155,69041077,Salary,,nan,Missing Value,Changed to nan
3157,68361471,Salary,,nan,Missing Value,Changed to nan
